Name,Height,Reach,STANCE,DOB,ID,Hometown,Hometown_Elevation,Trains_Out_Of
Tom Aaron,--,--,,"Jul 13, 1978",93fe7332d16c6ad9,"Troy, Missouri",166.5553741455078,Finney's MMA
Danny Abbadi,"5' 11""",--,Orthodox,"Jul 03, 1983",15df64c02b6b0fde,"Orlando, Florida",31.12412452697754,
Nariman Abbasov,"5' 8""","66""",Orthodox,"Feb 01, 1994",59a9d6dac61c2540,Ramana,,Azerbaijan Fight Club
David Abbott,"6' 0""",--,Switch,--,b361180739bed4b0,"Huntington Beach, California",11.58590698242188,
Hamdy Abdelwahab,"6' 2""","72""",Southpaw,"Jan 22, 1993",3329d692aea4dc28,"Queens, New York",18.09424209594727,Killer B Combat Sports Academy
Shamil Abdurakhimov,"6' 3""","76""",Orthodox,"Sep 02, 1981",2f5cbecbbe18bac4,"Makhachkala, Dagestan",-4.028912544250488,Peresvet FT
Hiroyuki Abe,"5' 6""",--,Orthodox,--,c0ed7b208197e8de,"Ichinomiya, Aichi",12.02131366729736,AACC
Daichi Abe,"5' 11""","71""",Orthodox,"Nov 27, 1991",5140122c3eecd307,"Kashiwazaki, Niigata",12.47049331665039,Freelance
Papy Abedi,"5' 11""",--,Southpaw,"Jun 30, 1978",c9f6385af6df66d7,Stockholm,19.22420120239258,Allstars Training Center
Ricardo Abreu,"5' 11""",--,Orthodox,"Apr 27, 1984",aa6e591c2a2cdecd,"Ribeirao Preto, Sao Paulo",521.3468627929688,Wand Fight Team
Klidson Abreu,"6' 0""","74""",Orthodox,"Dec 24, 1992",7279654c7674cd24,"Manaus, Amazonas",45.5338249206543,Evolucao Thai
Cyborg Abreu,--,--,,"Dec 20, 1980",f689bd7bbd14b392,"Campo Grande, Mato Grosso do Sul",516.2339477539062,Fight Sports
Daniel Acacio,"5' 8""",--,Orthodox,"Dec 27, 1977",1c5879330d42255f,"Curitiba, Parana",898.2212524414062,Evolucao Thai
John Adajar,"5' 9""","75""",Orthodox,"Jun 22, 1991",989b85f6540c86b1,Laguna,,Fairtex Pattaya
Scott Adams,"6' 0""",--,Southpaw,--,2620f3eb21c79614,"San Luis Obispo, California",69.1565933227539,The Pit
Juan Adams,"6' 5""","80""",Orthodox,"Jan 16, 1992",83b00f7597e5ac83,"Houston, Texas",14.5621976852417,Jackson-Wink MMA
Anthony Adams,"6' 1""","76""",Orthodox,"Jan 13, 1988",a77633a989013265,"Aurora, Colorado",1647.207153320312,Elevation Fight Team
Zarrukh Adashev,"5' 5""","65""",Southpaw,"Jul 29, 1992",79cb2a690b9ba5e8,"Brooklyn, New York",18.86631393432617,Lions Martial Arts Gym
Israel Adesanya,"6' 4""","80""",Switch,"Jul 22, 1989",1338e2c7480bdf9e,Lagos,8.867077827453613,City Kickboxing
Sam Adkins,"6' 3""",--,Orthodox,"Apr 26, 1965",0e9869d712e81f8f,"Houston, Texas",14.5621976852417,
Nick Agallar,"5' 8""",--,Orthodox,"Jan 13, 1979",ebc5af72ad5a28cb,"Racine, Wisconsin",189.9757995605469,Agallar Combative Systems
Mariya Agapova,"5' 6""","68""",Southpaw,"Apr 07, 1997",a08ddd04eaffd81d,"Pavlodar, Pavlodar",132.9080505371094,American Top Team
Marcelo Aguiar,"5' 10""",--,Orthodox,--,44aa652b181bcf68,,,
Fabio Aguiar,"6' 0""",--,,"Feb 10, 1988",501821d7fb7b95c1,"Recife, Pernambuco",1.752393007278442,Eduardo Team
Edwin Aguilar,"5' 10""",--,,--,6cadc0a0ba7dc015,"Tijuana, Baja California",110.0424346923828,Tiger's Team
Jessica Aguilar,"5' 3""","63""",Orthodox,"May 08, 1982",8f382b3baa954d2a,"Houston, Texas",14.5621976852417,American Top Team
Kevin Aguilar,"5' 7""","73""",Orthodox,"Sep 07, 1988",cf946e03ba2e7666,"Longview, Texas",113.2525634765625,Longview MMA
Jesus Aguilar,"5' 4""","62""",Orthodox,"Mar 13, 1996",c051c2e12d692b8a,,,Pro Fighting Peru
Christian Aguilera,"5' 9""","72""",Switch,"Nov 25, 1991",ae071698e1a3ccd4,"Brea, California",108.4727783203125,Total MMA Studios
Nick Aguirre,"5' 9""","74""",Southpaw,"Jan 15, 1996",0978385b2bd9ef9b,"Oswego, Illinois",194.7483367919922,Valle Flow Striking
Mike Aina,"5' 9""",--,Orthodox,--,9e3dbb9c68ed5d1a,"Hilo, Hawaii",3.28571891784668,BJ Penn's MMA
Ashiek Ajim,"5' 8""","71""",Switch,"Jun 19, 1994",49dea784f6cfed71,"New York, New York",13.34827327728271,Long Island MMA
Hitomi Akano,"5' 4""",--,Southpaw,"Jul 27, 1974",2eada40ac8801559,"Osaka, Osaka",4.637914657592773,AACC
Omari Akhmedov,"6' 0""","73""",Orthodox,"Oct 12, 1987",16690d100f995f8f,"Makhachkala, Dagestan",-4.028912544250488,American Top Team
Yoshihiro Akiyama,"5' 10""","75""",Orthodox,"Jul 29, 1975",b0550072e5f0afa7,"Osaka, Osaka",4.637914657592773,Jackson-Wink MMA
Rostem Akman,"5' 10""","72""",Switch,"Dec 19, 1991",1fc64507a0cb38cf,Stockholm,19.22420120239258,Fightzone Stockholm
Razak Al-Hassan,"6' 2""",--,Orthodox,"May 14, 1982",38b50fd1e1b5b656,"Milwaukee, Wisconsin",187.2257080078125,Roufusport
Abdul-Kareem Al-Selwady,"5' 8""","69""",Orthodox,"Apr 10, 1995",597499ac7a5aac62,"Baton Rouge, Louisiana",15.99550914764404,Fortis MMA
Mostapha Al-Turk,"6' 2""","77""",Orthodox,"Jul 14, 1973",1cf1310684a841f5,London,7.168957710266113,London Shootfighters
Herdem Alacabek,"6' 2""","75""",Orthodox,"Jun 07, 1991",7578cc6bd750206b,,,Black House
Javi Alanis,"5' 6""",--,,--,2144954270be834d,,,
Alatengheili,"5' 5""","66""",Orthodox,"Dec 14, 1991",1897b7b913736a7c,,,
Amir Albazi,"5' 5""","68""",Orthodox,"Oct 27, 1993",6d35bf94f7d30241,Baghdad,35.57046127319336,Xtreme Couture
Brett Albee,--,--,,--,9b28292abe3166d5,"San Diego, California",15.22877025604248,Und1sputed
John Albert,"5' 8""","68""",Orthodox,"Oct 13, 1986",7bd94b60d7521e4a,"Puyallup, Washington",12.63597297668457,Victory Athletics
Junior Albini,"6' 3""","74""",Orthodox,"Mar 15, 1991",c482c8605455a213,"Paranagua, Parana",7.977068424224854,Astra Fight Team
Wes Albritton,"5' 10""",--,Orthodox,--,184b955181bdef52,,,
Aleksandra Albu,"5' 2""","63""",Orthodox,"Jul 14, 1990",e76d9f656ceb82ab,Moscow,140.8046875,Red Fury Fight Team
Israel Albuquerque,--,--,Orthodox,--,dd1b90eea08887f6,Rio de Janeiro,7.758727073669434,Luta Livre Budokan
Juan Alcain,--,--,,--,39f62b833e4cf126,,,
Iuri Alcantara,"5' 9""","71""",Southpaw,"Aug 04, 1980",2f95a3c6d58b2aad,"Marajo, Para",24,Marajo Brothers Team
Ildemar Alcantara,"6' 2""","78""",Orthodox,"Nov 18, 1982",7c6e87729e824ef4,"Soure, Para",15.99956130981445,Marajo Brothers Team
Alfonso Alcarez,"5' 3""",--,,"Jun 10, 1970",1e38bba6738b7b10,"Las Vegas, Nevada",611.1598510742188,Nickwan Kick Gym
Gilbert Aldana,"6' 1""",--,Orthodox,"Aug 25, 1977",d26934530dc5b248,"Chandler, Arizona",369.6975708007812,Brausa Academy
Irene Aldana,"5' 9""","68""",Orthodox,"Mar 26, 1988",578ef12674df1e6a,"Guadalajara, Jalisco",1546.568969726562,Lobo Gym MMA
Hector Aldana,"5' 11""","72""",Orthodox,"Aug 17, 1988",c487223b0289bda9,"Mexicali, Baja California",1.175494350822288e-38,Torture Athletics
Jose Alday,"5' 7""","68""",Orthodox,"Sep 14, 1991",7460ddef986d3144,"Hermosillo, Sonora",202.4316711425781,Rise Combat Sports
Jose Aldo,"5' 7""","70""",Orthodox,"Sep 09, 1986",d0f3959b4a9747e6,"Manaus, Amazonas",45.5338249206543,Nova Uniao
JJ Aldrich,"5' 5""","67""",Southpaw,"Sep 29, 1992",6fd953151d981979,,,
Irina Alekseeva,"5' 8""","67""",Orthodox,"Jun 27, 1990",103e2e33a60683e1,"Chelyabinsk, Chelyabinsk",221.7393798828125,РАТЬ
Talita Alencar,"5' 1""","58""",Orthodox,"Oct 17, 1990",d35298b6df168456,"Carutapera, Maranhao",20.61042785644531,Temple Martial Arts
Jim Alers,"5' 9""","71""",Orthodox,"Oct 14, 1986",fe5a9547479396ab,"Orlando, Florida",31.12412452697754,MMA Masters
John Alessio,"5' 10""","72""",Orthodox,"Jul 05, 1979",7a15f3694c5cbc02,"Vancouver, British Columbia",31.52272987365723,Xtreme Couture
Houston Alexander,"6' 0""","72""",Orthodox,"Mar 22, 1972",0541480fbf719d86,"Omaha, Nebraska",316.9642944335938,Grudge Training Center
Kenneth Alexander,"5' 9""",--,Orthodox,"Sep 25, 1977",8fd76e1b49c00ae2,"San Diego, California",15.22877025604248,Bad Boy USA
Lucas Alexander,"5' 11""","73""",Orthodox,"Jul 28, 1995",11583163f45c7b31,"Rio de Janeiro, Rio de Janeiro",7.758727073669434,Fusion X-Cel Performance
Marcio Alexandre Junior,"6' 0""","75""",Southpaw,"May 05, 1989",d53482bef23235ba,,,
Olaf Alfonso,"6' 2""",--,Orthodox,"Aug 06, 1974",b757c73f443d4fca,Antigua,67.22677612304688,
Pablo Alfonso,"5' 8""",--,,"May 09, 1983",4b37a0bc2ab4cae1,"Miami, Florida",0.5367298126220703,MMA Masters
Levi Alford,--,--,,--,41b34b7f11f6d085,Washington,22.01509475708008,
Bill Algeo,"6' 0""","73""",Switch,"Jun 09, 1989",9abc648e76c4493a,"State College, Pennsylvania",350.7974548339844,Team Titan PA
Royce Alger,"5' 10""",--,Orthodox,--,669a3cb6e394f515,"Iowa City, Iowa",210.4425659179688,Hammer House
Amir Aliakbari,"6' 3""",--,,"Jun 10, 1984",e17770faae3ca54c,"Shahriar, Tehran",1148.689453125,AKA Thailand
Sultan Aliev,"5' 11""","74""",Orthodox,"Sep 17, 1984",e70de1859b7ee78e,"Derbent, Dagestan",-4.724057674407959,American Top Team
Nurullo Aliev,"5' 10""","72""",Orthodox,"Dec 08, 2000",ca28cdf526d6b6e9,Dushanbe,810.1680908203125,
Ikram Aliskerov,"6' 0""","76""",Southpaw,"Dec 07, 1992",b07aed698fba8624,"Makhachkala, Dagestan",-4.028912544250488,KHK MMA Team
Leon Aliu,"6' 0""","74""",Orthodox,"Jul 14, 1989",6db394bf6c3b017c,,,Iron Team Reggio Emilia
John Allan,"6' 1""","75""",Orthodox,"Feb 22, 1993",6ebe96a116e79e52,"Curitiba, Parana",898.2212524414062,Chute Boxe
George Allen,"6' 2""",--,Open Stance,"Jan 13, 1967",1e13936d708bcff7,British Columbia,1121.031127929688,
Arnold Allen,"5' 8""","70""",Southpaw,"Jan 22, 1994",040a74bb0a465c54,"Felixstowe, Suffolk",23.50832366943359,Tristar Gym
Brendan Allen,"6' 2""","75""",Orthodox,"Dec 28, 1995",2f181c0467965b98,"Milwaukee, Wisconsin",187.2257080078125,Kill Cliff FC
Daniel Allen,"6' 0""","75""",Southpaw,"Aug 10, 1992",adf9a901308fb8e3,,,
Ben Alloway,"5' 11""","76""",Orthodox,"Feb 19, 1981",c4fe2e9a06ea5bcb,"Gold Coast, Queensland",1.248871922492981,BBA Mixed Martial Arts
Assu Almabayev,"5' 4""","65""",Orthodox,"Jan 25, 1994",8d3273573b85be09,,,
Ricardo Almeida,"6' 0""","74""",Orthodox,"Nov 29, 1976",91186547a7f3f758,"Bordentown, New Jersey",17.07266044616699,Renzo Gracie Jiu-Jitsu
Magno Almeida,"6' 0""",--,,"Jun 06, 1985",d615d6a10a4704cd,"Woburn, Massachusetts",31.01143264770508,Fenix Fight Club
Thomas Almeida,"5' 7""","70""",Southpaw,"Jul 31, 1991",2b074403b7c6cdb4,"Sao Paulo, Sao Paulo",761.88525390625,Chute Boxe Diego Lima
Ericka Almeida,"5' 6""",--,Orthodox,"Mar 05, 1989",67a992d4cff22466,"Sorocaba, Sao Paulo",616.6074829101562,Team Nogueira
