Fighter Name
Marcelo Aguiar
Javi Alanis
Alatengheili
Wes Albritton
Juan Alcain
JJ Aldrich
Marcio Alexandre Junior
Daniel Allen
Assu Almabayev
Jaime Alvarez
Anthony Alves
Rafael Alves
Rayanne Amanda
JJ Ambrose
Bertrand Amoussou
Juan Andres Luna
Fellipe Andrew
Aoriqileng
Gabriel Arges
Reza Arianto
Joey Armstrong
Yanal Ashmouz
Asjabharan
Bazigit Atajev
Abdul Azeem Badakhshi
Jin Bala
Balajin
Tae Hyun Bang
Dione Barbosa
Dan Barrera
Dieusel Berto
Khadzhi Bestaev
Arjan Bhullar
KB Bhullar
Caio Bittencourt
Igor Borisov
Rich Bouphanouvong
Roman Bravo-Young
Henry Briones
Mike Brown
Terrell Brown
Chris Brown
TJ Brown
Humberto Brown Morrison
Junie Browning
Lee Kwan Bum
Goldman Butler
JP Buys
Michael Byrnes
Ronaldo Candido
Dos Caras Jr.
Antonio Carlos Junior
Vinicius Cenci
Katlyn Cerminara
Donnie Chappell
Sako Chivitchian
Dooho Choi
SeungWoo Choi
SeungGuk Choi
Nikolajus Cilkinas
RJ Clifford
Dave Cochran
Jamie Colleen
Chris Condo
Mike Cook
TJ Cook
Dewey Cooper
Amanda Cooper
Jadson Costa
JC Cottrell
JR Coughran
Helena Crevar
Ken Cross
Richard Crunkilton
Josh Culibao
Hugo Cunha
AJ Cunningham
Gleidson Cutis
Henrique Da Silva Lopes
LC Davis
Lemont Davis
Danny Davis
Angel De Anda
Geraldo de Freitas
Rodrigo de Lima
Issac DeJesus
Rolando Delgado
John Devine
Micol Di Segni
Thomas Diagne
Blood Diamond
Adrian Diaz
TJ Dillashaw
Ralph Dillon
Rodolfo Marques Diniz
Helio Dipp
AJ Dobson
CB Dollaway
OJ Dominguez
Antonio Dos Santos
Oleksandr Doskalchuk
Danny Downes
Edson Drago
Viktoriia Dudakova
Luiz Dutra
Rilley Dutro
Jon Olav Einemo
Rob Emerson
Rodney Faverus
JP Felty
Emily Fernandez
Erisson Ferreira
AJ Fletcher
AJ Fonseca
Claudionor Fontinelle
Glaico Franca Moreira
Gary Frazier
Jason Freeman
Gustavo Gabriel
Eric Galvan
Manvel Gamburyan
Eduardo Garagorri
Darrel Gholar
Nick Gibbons
Joseph Gigliotti
Jesse Gillespie
He-Man Gipson
Luis Gomez
Jennifer Gonzalez
Kier Gooch
Jordan Goodwin
Hugo Govea
TJ Grant
James Gray
Gabe Green
Mike Guymon
Steve Hadsel
CJ Hamilton
Baru Harn
Luke Hartwig
Ahmad Hassanzada
Spencer Hearns
Ron Henderson
Jose Henrique
TJ Hepburn
Noe Hernandez
Alvaro Herrera Mendoza
Jimy Hettes
Paddy Holohan
JunYoung Hong
SeongChan Hong
Saeed Hosseini
Young Hwang
Sergey Ignatov
Mikhail Iloukhine
Jorge Interiano
Eric Jacob
Nate James
Louis Jauregui
Chan-Mi Jeon
Jiniushiyue
Timothy Johnson
Chad Johnson
Roy Jones
Antonio Jones
Craig Jones
Koya Kanda
Bharat Kandare
Ernesta Kareckaite
CJ Keith
Mayana Kellem
WonBin Ki
MinWoo Kim
HanSeul Kim
KyeungPyo Kim
Sangwook Kim
SangWon Kim
Yurij Kiseliov
Top Noi Kiwram
Stefan Klever
Josefine Knutsson
Kelly Kobold
Tsuyoshi Kohsaka
Iouri Kotchkine
Junya Kudo
