Name,Height,Reach,Stance,DOB,ID
Tom Aaron,--,--,,"Jul 13, 1978",93fe7332d16c6ad9
Danny Abbadi,"5' 11""",--,Orthodox,"Jul 03, 1983",15df64c02b6b0fde
Nariman Abbasov,"5' 8""","66""",Orthodox,"Feb 01, 1994",59a9d6dac61c2540
David Abbott,"6' 0""",--,Switch,--,b361180739bed4b0
Hamdy Abdelwahab,"6' 2""","72""",Southpaw,"Jan 22, 1993",3329d692aea4dc28
Shamil Abdurakhimov,"6' 3""","76""",Orthodox,"Sep 02, 1981",2f5cbecbbe18bac4
Hiroyuki Abe,"5' 6""",--,Orthodox,--,c0ed7b208197e8de
Daichi Abe,"5' 11""","71""",Orthodox,"Nov 27, 1991",5140122c3eecd307
Papy Abedi,"5' 11""",--,Southpaw,"Jun 30, 1978",c9f6385af6df66d7
Ricardo Abreu,"5' 11""",--,Orthodox,"Apr 27, 1984",aa6e591c2a2cdecd
Klidson Abreu,"6' 0""","74""",Orthodox,"Dec 24, 1992",7279654c7674cd24
Cyborg Abreu,--,--,,"Dec 20, 1980",f689bd7bbd14b392
Daniel Acacio,"5' 8""",--,Orthodox,"Dec 27, 1977",1c5879330d42255f
John Adajar,"5' 9""","75""",Orthodox,"Jun 22, 1991",989b85f6540c86b1
Scott Adams,"6' 0""",--,Southpaw,--,2620f3eb21c79614
Juan Adams,"6' 5""","80""",Orthodox,"Jan 16, 1992",83b00f7597e5ac83
Anthony Adams,"6' 1""","76""",Orthodox,"Jan 13, 1988",a77633a989013265
Zarrukh Adashev,"5' 5""","65""",Southpaw,"Jul 29, 1992",79cb2a690b9ba5e8
Israel Adesanya,"6' 4""","80""",Switch,"Jul 22, 1989",1338e2c7480bdf9e
Sam Adkins,"6' 3""",--,Orthodox,"Apr 26, 1965",0e9869d712e81f8f
Nick Agallar,"5' 8""",--,Orthodox,"Jan 13, 1979",ebc5af72ad5a28cb
Mariya Agapova,"5' 6""","68""",Southpaw,"Apr 07, 1997",a08ddd04eaffd81d
Marcelo Aguiar,"5' 10""",--,Orthodox,--,44aa652b181bcf68
Fabio Aguiar,"6' 0""",--,,"Feb 10, 1988",501821d7fb7b95c1
Edwin Aguilar,"5' 10""",--,,--,6cadc0a0ba7dc015
Jessica Aguilar,"5' 3""","63""",Orthodox,"May 08, 1982",8f382b3baa954d2a
Kevin Aguilar,"5' 7""","73""",Orthodox,"Sep 07, 1988",cf946e03ba2e7666
Jesus Aguilar,"5' 4""","62""",Orthodox,"Mar 13, 1996",c051c2e12d692b8a
Christian Aguilera,"5' 9""","72""",Switch,"Nov 25, 1991",ae071698e1a3ccd4
Nick Aguirre,"5' 9""","74""",Southpaw,"Jan 15, 1996",0978385b2bd9ef9b
Mike Aina,"5' 9""",--,Orthodox,--,9e3dbb9c68ed5d1a
Ashiek Ajim,"5' 8""","71""",Switch,"Jun 19, 1994",49dea784f6cfed71
Hitomi Akano,"5' 4""",--,Southpaw,"Jul 27, 1974",2eada40ac8801559
Omari Akhmedov,"6' 0""","73""",Orthodox,"Oct 12, 1987",16690d100f995f8f
Yoshihiro Akiyama,"5' 10""","75""",Orthodox,"Jul 29, 1975",b0550072e5f0afa7
