Fight Night Title,date,location,Fighter A,Fighter A ID,Fighter B,Fighter B ID,Division,Outcome Method,Outcome Round,Outcome Time,Outcome Format,Referee,Outcome Detail,Fighter A Round 1 KD,Fighter A Round 1 SIG STR Landed,Fighter A Round 1 SIG STR Attempted,Fighter A Round 1 SIG STR %,Fighter A Round 1 TOTAL STR Landed,Fighter A Round 1 TOTAL STR Attempted,Fighter A Round 1 TD Landed,Fighter A Round 1 Attempted,Fighter A Round 1 TD %,Fighter A Round 1 SUB ATT,Fighter A Round 1 REV,Fighter A Round 1 CTRL,Fighter A Round 2 KD,Fighter A Round 2 SIG STR Landed,Fighter A Round 2 SIG STR Attempted,Fighter A Round 2 SIG STR %,Fighter A Round 2 TOTAL STR Landed,Fighter A Round 2 TOTAL STR Attempted,Fighter A Round 2 TD Landed,Fighter A Round 2 Attempted,Fighter A Round 2 TD %,Fighter A Round 2 SUB ATT,Fighter A Round 2 REV,Fighter A Round 2 CTRL,Fighter A Round 3 KD,Fighter A Round 3 SIG STR Landed,Fighter A Round 3 SIG STR Attempted,Fighter A Round 3 SIG STR %,Fighter A Round 3 TOTAL STR Landed,Fighter A Round 3 TOTAL STR Attempted,Fighter A Round 3 TD Landed,Fighter A Round 3 Attempted,Fighter A Round 3 TD %,Fighter A Round 3 SUB ATT,Fighter A Round 3 REV,Fighter A Round 3 CTRL,Fighter A Round 4 KD,Fighter A Round 4 SIG STR Landed,Fighter A Round 4 SIG STR Attempted,Fighter A Round 4 SIG STR %,Fighter A Round 4 TOTAL STR Landed,Fighter A Round 4 TOTAL STR Attempted,Fighter A Round 4 TD Landed,Fighter A Round 4 Attempted,Fighter A Round 4 TD %,Fighter A Round 4 SUB ATT,Fighter A Round 4 REV,Fighter A Round 4 CTRL,Fighter A Round 5 KD,Fighter A Round 5 SIG STR Landed,Fighter A Round 5 SIG STR Attempted,Fighter A Round 5 SIG STR %,Fighter A Round 5 TOTAL STR Landed,Fighter A Round 5 TOTAL STR Attempted,Fighter A Round 5 TD Landed,Fighter A Round 5 Attempted,Fighter A Round 5 TD %,Fighter A Round 5 SUB ATT,Fighter A Round 5 REV,Fighter A Round 5 CTRL,Fighter A Total KD,Fighter A Total SIG STR Landed,Fighter A Total SIG STR Attempted,Fighter A Total SIG STR %,Fighter A Total TOTAL STR Landed,Fighter A Total TOTAL STR Attempted,Fighter A Total TD Landed,Fighter A Total Attempted,Fighter A Total TD %,Fighter A Total SUB ATT,Fighter A Total REV,Fighter A Total CTRL,Fighter B Round 1 KD,Fighter B Round 1 SIG STR Landed,Fighter B Round 1 SIG STR Attempted,Fighter B Round 1 SIG STR %,Fighter B Round 1 TOTAL STR Landed,Fighter B Round 1 TOTAL STR Attempted,Fighter B Round 1 TD Landed,Fighter B Round 1 Attempted,Fighter B Round 1 TD %,Fighter B Round 1 SUB ATT,Fighter B Round 1 REV,Fighter B Round 1 CTRL,Fighter B Round 2 KD,Fighter B Round 2 SIG STR Landed,Fighter B Round 2 SIG STR Attempted,Fighter B Round 2 SIG STR %,Fighter B Round 2 TOTAL STR Landed,Fighter B Round 2 TOTAL STR Attempted,Fighter B Round 2 TD Landed,Fighter B Round 2 Attempted,Fighter B Round 2 TD %,Fighter B Round 2 SUB ATT,Fighter B Round 2 REV,Fighter B Round 2 CTRL,Fighter B Round 3 KD,Fighter B Round 3 SIG STR Landed,Fighter B Round 3 SIG STR Attempted,Fighter B Round 3 SIG STR %,Fighter B Round 3 TOTAL STR Landed,Fighter B Round 3 TOTAL STR Attempted,Fighter B Round 3 TD Landed,Fighter B Round 3 Attempted,Fighter B Round 3 TD %,Fighter B Round 3 SUB ATT,Fighter B Round 3 REV,Fighter B Round 3 CTRL,Fighter B Round 4 KD,Fighter B Round 4 SIG STR Landed,Fighter B Round 4 SIG STR Attempted,Fighter B Round 4 SIG STR %,Fighter B Round 4 TOTAL STR Landed,Fighter B Round 4 TOTAL STR Attempted,Fighter B Round 4 TD Landed,Fighter B Round 4 Attempted,Fighter B Round 4 TD %,Fighter B Round 4 SUB ATT,Fighter B Round 4 REV,Fighter B Round 4 CTRL,Fighter B Round 5 KD,Fighter B Round 5 SIG STR Landed,Fighter B Round 5 SIG STR Attempted,Fighter B Round 5 SIG STR %,Fighter B Round 5 TOTAL STR Landed,Fighter B Round 5 TOTAL STR Attempted,Fighter B Round 5 TD Landed,Fighter B Round 5 Attempted,Fighter B Round 5 TD %,Fighter B Round 5 SUB ATT,Fighter B Round 5 REV,Fighter B Round 5 CTRL,Fighter B Total KD,Fighter B Total SIG STR Landed,Fighter B Total SIG STR Attempted,Fighter B Total SIG STR %,Fighter B Total TOTAL STR Landed,Fighter B Total TOTAL STR Attempted,Fighter B Total TD Landed,Fighter B Total Attempted,Fighter B Total TD %,Fighter B Total SUB ATT,Fighter B Total REV,Fighter B Total CTRL,Fighter A Round 1 Head Shots Landed,Fighter A Round 1 Head Shots Attempted,Fighter A Round 1 Body Shots Landed,Fighter A Round 1 Body Shots Attempted,Fighter A Round 1 Leg Shots Landed,Fighter A Round 1 Leg Shots Attempted,Fighter A Round 1 Distance Shots Landed,Fighter A Round 1 Distance Shots Attempted,Fighter A Round 1 Clinch Landed,Fighter A Round 1 Clinch Attempted,Fighter A Round 1 Ground Landed,Fighter A Round 1 Ground Attempted,Fighter A Round 2 Head Shots Landed,Fighter A Round 2 Head Shots Attempted,Fighter A Round 2 Body Shots Landed,Fighter A Round 2 Body Shots Attempted,Fighter A Round 2 Leg Shots Landed,Fighter A Round 2 Leg Shots Attempted,Fighter A Round 2 Distance Shots Landed,Fighter A Round 2 Distance Shots Attempted,Fighter A Round 2 Clinch Landed,Fighter A Round 2 Clinch Attempted,Fighter A Round 2 Ground Landed,Fighter A Round 2 Ground Attempted,Fighter A Round 3 Head Shots Landed,Fighter A Round 3 Head Shots Attempted,Fighter A Round 3 Body Shots Landed,Fighter A Round 3 Body Shots Attempted,Fighter A Round 3 Leg Shots Landed,Fighter A Round 3 Leg Shots Attempted,Fighter A Round 3 Distance Shots Landed,Fighter A Round 3 Distance Shots Attempted,Fighter A Round 3 Clinch Landed,Fighter A Round 3 Clinch Attempted,Fighter A Round 3 Ground Landed,Fighter A Round 3 Ground Attempted,Fighter A Round 4 Head Shots Landed,Fighter A Round 4 Head Shots Attempted,Fighter A Round 4 Body Shots Landed,Fighter A Round 4 Body Shots Attempted,Fighter A Round 4 Leg Shots Landed,Fighter A Round 4 Leg Shots Attempted,Fighter A Round 4 Distance Shots Landed,Fighter A Round 4 Distance Shots Attempted,Fighter A Round 4 Clinch Landed,Fighter A Round 4 Clinch Attempted,Fighter A Round 4 Ground Landed,Fighter A Round 4 Ground Attempted,Fighter A Round 5 Head Shots Landed,Fighter A Round 5 Head Shots Attempted,Fighter A Round 5 Body Shots Landed,Fighter A Round 5 Body Shots Attempted,Fighter A Round 5 Leg Shots Landed,Fighter A Round 5 Leg Shots Attempted,Fighter A Round 5 Distance Shots Landed,Fighter A Round 5 Distance Shots Attempted,Fighter A Round 5 Clinch Landed,Fighter A Round 5 Clinch Attempted,Fighter A Round 5 Ground Landed,Fighter A Round 5 Ground Attempted,Fighter A Total Head Shots Landed,Fighter A Total Head Shots Attempted,Fighter A Total Body Shots Landed,Fighter A Total Body Shots Attempted,Fighter A Total Leg Shots Landed,Fighter A Total Leg Shots Attempted,Fighter A Total Distance Shots Landed,Fighter A Total Distance Shots Attempted,Fighter A Total Clinch Landed,Fighter A Total Clinch Attempted,Fighter A Total Ground Landed,Fighter A Total Ground Attempted,Fighter B Round 1 Head Shots Landed,Fighter B Round 1 Head Shots Attempted,Fighter B Round 1 Body Shots Landed,Fighter B Round 1 Body Shots Attempted,Fighter B Round 1 Leg Shots Landed,Fighter B Round 1 Leg Shots Attempted,Fighter B Round 1 Distance Shots Landed,Fighter B Round 1 Distance Shots Attempted,Fighter B Round 1 Clinch Landed,Fighter B Round 1 Clinch Attempted,Fighter B Round 1 Ground Landed,Fighter B Round 1 Ground Attempted,Fighter B Round 2 Head Shots Landed,Fighter B Round 2 Head Shots Attempted,Fighter B Round 2 Body Shots Landed,Fighter B Round 2 Body Shots Attempted,Fighter B Round 2 Leg Shots Landed,Fighter B Round 2 Leg Shots Attempted,Fighter B Round 2 Distance Shots Landed,Fighter B Round 2 Distance Shots Attempted,Fighter B Round 2 Clinch Landed,Fighter B Round 2 Clinch Attempted,Fighter B Round 2 Ground Landed,Fighter B Round 2 Ground Attempted,Fighter B Round 3 Head Shots Landed,Fighter B Round 3 Head Shots Attempted,Fighter B Round 3 Body Shots Landed,Fighter B Round 3 Body Shots Attempted,Fighter B Round 3 Leg Shots Landed,Fighter B Round 3 Leg Shots Attempted,Fighter B Round 3 Distance Shots Landed,Fighter B Round 3 Distance Shots Attempted,Fighter B Round 3 Clinch Landed,Fighter B Round 3 Clinch Attempted,Fighter B Round 3 Ground Landed,Fighter B Round 3 Ground Attempted,Fighter B Round 4 Head Shots Landed,Fighter B Round 4 Head Shots Attempted,Fighter B Round 4 Body Shots Landed,Fighter B Round 4 Body Shots Attempted,Fighter B Round 4 Leg Shots Landed,Fighter B Round 4 Leg Shots Attempted,Fighter B Round 4 Distance Shots Landed,Fighter B Round 4 Distance Shots Attempted,Fighter B Round 4 Clinch Landed,Fighter B Round 4 Clinch Attempted,Fighter B Round 4 Ground Landed,Fighter B Round 4 Ground Attempted,Fighter B Round 5 Head Shots Landed,Fighter B Round 5 Head Shots Attempted,Fighter B Round 5 Body Shots Landed,Fighter B Round 5 Body Shots Attempted,Fighter B Round 5 Leg Shots Landed,Fighter B Round 5 Leg Shots Attempted,Fighter B Round 5 Distance Shots Landed,Fighter B Round 5 Distance Shots Attempted,Fighter B Round 5 Clinch Landed,Fighter B Round 5 Clinch Attempted,Fighter B Round 5 Ground Landed,Fighter B Round 5 Ground Attempted,Fighter B Total Head Shots Landed,Fighter B Total Head Shots Attempted,Fighter B Total Body Shots Landed,Fighter B Total Body Shots Attempted,Fighter B Total Leg Shots Landed,Fighter B Total Leg Shots Attempted,Fighter B Total Distance Shots Landed,Fighter B Total Distance Shots Attempted,Fighter B Total Clinch Landed,Fighter B Total Clinch Attempted,Fighter B Total Ground Landed,Fighter B Total Ground Attempted
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",Ronda Rousey,8bdac25ce0bb874d,Liz Carmouche,51a0c09cbe9b8472,UFC Women's Bantamweight Title,Submission,1,4:49,(5-5-5-5-5),McCarthy,Armbar On Ground,0,7,14,50%,41,50,1,1,100%,1,0,3:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,14,50%,41,50,1,1,100%,1,0,3:47,0,4,6,66%,22,24,0,0,---,1,0,0:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,66%,22,24,0,0,---,1,0,0:52,6,13,1,1,0,0,1,5,2,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,1,1,0,0,1,5,2,2,4,7,4,6,0,0,0,0,3,5,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,0,0,0,3,5,1,1,0,0
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,"April 13, 2013","Las Vegas, Nevada, USA",Miesha Tate,b96619b3acd7d9da,Cat Zingano,3ecd936bd8814108,Women's Bantamweight,KO/TKO,3,2:55,(5-5-5),Winslow,Knees to Head In Clinch,0,19,34,55%,33,49,2,5,40%,0,0,2:55,0,3,6,50%,19,28,1,2,50%,3,0,2:01,0,1,2,50%,2,3,0,0,---,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,0,23,42,54%,54,80,3,7,42%,3,0,4:56,0,12,17,70%,18,24,0,0,---,1,1,0:45,0,13,13,100%,29,33,0,0,---,0,1,2:36,0,10,12,83%,60,63,1,1,100%,0,0,2:32,,,,,,,,,,,,,,,,,,,,,,,,,0,35,42,83%,107,120,1,1,100%,1,2,5:53,18,33,1,1,0,0,14,26,2,4,3,4,3,6,0,0,0,0,1,2,0,0,2,4,0,1,1,1,0,0,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21,40,2,2,0,0,16,30,2,4,5,8,7,12,5,5,0,0,10,14,2,3,0,0,6,6,3,3,4,4,5,5,0,0,8,8,10,12,0,0,0,0,1,3,6,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,23,30,8,8,4,4,16,22,8,9,11,11
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",Sara McMann,7be74a12d7352df2,Sheila Gaff,837d30395faca41e,Women's Bantamweight,KO/TKO,1,4:06,(5-5-5),Oliver,Punches to Head From Side Control,0,8,9,88%,72,73,2,2,100%,0,0,3:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,9,88%,72,73,2,2,100%,0,0,3:47,0,7,12,58%,15,20,0,0,---,0,0,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,12,58%,15,20,0,0,---,0,0,0:01,7,8,1,1,0,0,1,2,0,0,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,1,1,0,0,1,2,0,0,7,7,1,4,6,8,0,0,1,4,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,8,0,0,1,4,6,8,0,0
UFC 161: Evans vs Henderson,"June 15, 2013","Winnipeg, Manitoba, Canada",Alexis Davis,4c2d90e335e6df19,Rosi Sexton,5dfe71ade71f3a4b,Women's Bantamweight,Decision - Unanimous,3,5:00,(5-5-5),Dean,"


Richard Bertrand 28 - 29.
 

Chris Lee 27 - 29.
 

Jason Rodgers 28 - 29.",0,16,32,50%,20,36,0,2,0%,2,0,1:17,0,14,19,73%,99,132,0,0,---,1,1,3:47,0,14,22,63%,42,55,0,1,0%,0,1,1:41,,,,,,,,,,,,,,,,,,,,,,,,,0,44,73,60%,161,223,0,3,0%,3,2,6:45,0,14,27,51%,51,74,0,1,0%,0,0,2:51,0,6,6,100%,20,25,1,1,100%,0,0,0:52,0,14,28,50%,44,59,0,0,---,0,1,2:20,,,,,,,,,,,,,,,,,,,,,,,,,0,34,61,55%,115,158,1,2,50%,0,1,6:03,10,25,4,5,2,2,7,21,9,11,0,0,10,15,3,3,1,1,2,4,2,2,10,13,13,21,1,1,0,0,14,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,33,61,8,9,3,3,23,47,11,13,10,13,13,26,0,0,1,1,7,19,0,1,7,7,6,6,0,0,0,0,6,6,0,0,0,0,12,26,2,2,0,0,11,25,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,31,58,2,2,1,1,24,50,0,1,10,10
UFC on FOX: Johnson vs Moraga,"July 27, 2013","Seattle, Washington, USA",Julie Kedzie,981ab7a0576f76a0,Germaine de Randamie,1d239d571e342453,Women's Bantamweight,Decision - Split,3,5:00,(5-5-5),Corley,"


Terry Boehlke 27 - 30.
 

Lester Griffin 29 - 28.
 

Lamont Nelson 28 - 29.",0,13,22,59%,25,34,0,3,0%,0,0,0:39,0,8,27,29%,29,48,1,1,100%,0,0,2:57,0,7,27,25%,19,45,1,5,20%,0,0,1:15,,,,,,,,,,,,,,,,,,,,,,,,,0,28,76,36%,73,127,2,9,22%,0,0,4:51,0,25,32,78%,33,40,0,0,---,0,0,2:54,0,6,16,37%,11,22,0,0,---,0,0,0:00,0,19,34,55%,38,53,0,0,---,0,0,0:57,,,,,,,,,,,,,,,,,,,,,,,,,0,50,82,60%,82,115,0,0,---,0,0,3:51,2,11,5,5,6,6,7,15,6,7,0,0,2,21,2,2,4,4,8,27,0,0,0,0,2,22,4,4,1,1,5,25,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,54,11,11,11,11,20,67,8,9,0,0,2,9,16,16,7,7,3,7,22,25,0,0,2,12,1,1,3,3,6,16,0,0,0,0,5,19,7,7,7,8,7,22,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9,40,24,24,17,18,16,45,34,37,0,0
UFC on FOX: Johnson vs Moraga,"July 27, 2013","Seattle, Washington, USA",Liz Carmouche,51a0c09cbe9b8472,Jessica Andrade,6a1901c62ab3870f,Women's Bantamweight,KO/TKO,2,3:57,(5-5-5),Dean,Punches to Head From Mount,0,6,7,85%,35,40,2,2,100%,0,0,4:19,0,44,76,57%,79,126,1,1,100%,1,0,3:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,83,60%,114,166,3,3,100%,1,0,7:52,0,7,9,77%,11,14,1,1,100%,1,0,0:21,0,3,6,50%,3,6,0,0,---,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,15,66%,14,20,1,1,100%,1,0,0:21,4,5,0,0,2,2,4,4,1,2,1,1,41,73,1,1,2,2,2,5,0,0,42,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,78,1,1,4,4,6,9,1,2,43,72,2,4,3,3,2,2,1,2,5,5,1,2,1,4,1,1,1,1,3,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,4,4,3,3,4,8,5,5,1,2
UFC 163: Aldo vs Jung,"August 03, 2013","Rio de Janeiro, Brazil",Amanda Nunes,80fa8218c99f9c58,Sheila Gaff,837d30395faca41e,Women's Bantamweight,KO/TKO,1,2:08,(5-5-5),Dean,Elbows to Head From Guard,0,10,16,62%,16,25,2,3,66%,0,0,1:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,16,62%,16,25,2,3,66%,0,0,1:38,0,3,8,37%,5,10,0,0,---,0,0,0:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,37%,5,10,0,0,---,0,0,0:12,9,14,1,2,0,0,1,3,0,0,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,1,2,0,0,1,3,0,0,9,13,1,4,2,3,0,1,1,5,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,0,1,1,5,2,3,0,0
UFC 166: Velasquez vs Dos Santos 3,"October 19, 2013","Houston, Texas, USA",Sarah Kaufman,36df8e119aec6175,Jessica Eye,f72465a784c1b084,Women's Bantamweight,Overturned,3,5:00,(5-5-5),Montalvo,"Failed Drug Test by Eye
 
Ruben Najera 28 - 29.
 

Gino Garcia 29 - 28.
 

Jon Schorle 28 - 29.",0,23,75,30%,30,82,0,0,---,0,0,0:00,0,26,61,42%,38,73,0,0,---,0,0,0:37,0,38,78,48%,63,103,0,0,---,0,0,0:34,,,,,,,,,,,,,,,,,,,,,,,,,0,87,214,40%,131,258,0,0,---,0,0,1:11,0,25,80,31%,30,85,0,0,---,0,0,0:38,0,17,64,26%,33,80,0,0,---,0,0,0:13,0,23,65,35%,30,72,0,0,---,0,0,0:34,,,,,,,,,,,,,,,,,,,,,,,,,0,65,209,31%,93,237,0,0,---,0,0,1:25,12,59,6,7,5,9,10,55,13,20,0,0,16,47,5,6,5,8,14,44,12,17,0,0,25,65,7,7,6,6,21,59,17,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,53,171,18,20,16,23,45,158,42,56,0,0,16,67,5,8,4,5,14,59,11,21,0,0,11,57,4,4,2,3,12,54,5,10,0,0,12,52,6,8,5,5,13,51,10,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,39,176,15,20,11,13,39,164,26,45,0,0
UFC Fight Night: Machida vs Munoz,"October 26, 2013","Manchester, England, United Kingdom",Rosi Sexton,5dfe71ade71f3a4b,Jessica Andrade,6a1901c62ab3870f,Women's Bantamweight,Decision - Unanimous,3,5:00,(5-5-5),Hall,"


Ben Cartlidge 26 - 30.
 

Howard Hughes 27 - 30.
 

Chris Watts 26 - 30.",0,22,59,37%,35,75,0,2,0%,0,0,0:10,0,24,84,28%,25,85,1,3,33%,0,0,0:16,0,42,102,41%,51,112,0,3,0%,0,0,0:08,,,,,,,,,,,,,,,,,,,,,,,,,0,88,245,35%,111,272,1,8,12%,0,0,0:34,0,42,93,45%,51,104,1,2,50%,0,0,1:04,0,91,138,65%,91,139,0,0,---,0,0,0:07,0,73,113,64%,73,113,0,0,---,0,0,0:31,,,,,,,,,,,,,,,,,,,,,,,,,0,206,344,59%,215,356,1,2,50%,0,0,1:42,14,51,2,2,6,6,20,57,2,2,0,0,19,76,1,2,4,6,24,84,0,0,0,0,31,88,2,2,9,12,41,101,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,64,215,5,6,19,24,85,242,3,3,0,0,36,86,5,6,1,1,39,90,2,2,1,1,79,125,9,10,3,3,88,135,3,3,0,0,64,103,7,8,2,2,69,109,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,179,314,21,24,6,6,196,334,9,9,1,1
UFC Fight Night: Fight for the Troops 3,"November 06, 2013","Fort Campbell, Kentucky, USA",Amanda Nunes,80fa8218c99f9c58,Germaine de Randamie,1d239d571e342453,Women's Bantamweight,KO/TKO,1,3:56,(5-5-5),Dean,Elbows to Head From Mount,0,14,57,24%,23,67,1,3,33%,0,0,2:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,57,24%,23,67,1,3,33%,0,0,2:42,0,1,6,16%,1,6,0,0,---,0,0,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6,16%,1,6,0,0,---,0,0,0:00,14,53,0,0,0,4,0,5,0,0,14,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,53,0,0,0,4,0,5,0,0,14,52,0,3,0,0,1,3,1,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,1,3,1,6,0,0,0,0
